DESCRIPTION,RATING,REVIEWS COUNT,LINK,6/2/2021,7/2/2021,8/2/2021,9/2/2021,10/2/2021,11/2/2021,12/2/2021,13/2/2021,14/2/2021,15/2/2021,16/2/2021,17/2/2021,18/2/2021,19/2/2021,20/2/2021,21/2/2021,22/2/2021,23/2/2021,24/2/2021,25/2/2021,26/2/2021,2021-03-01
Redmi Note 9 ),4.2 out of 5 stars,"27,262",https://www.amazon.in/Redmi-Note-Scarlet-128GB-Storage/dp/B08696LQL2/ref=sr_1_58?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-58,"11,999.00",unavailable,"12,999.00","12,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00",unavailable,"11,499.00","11,499.00","11,499.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00"
),4.1 out of 5 stars,"30,458",https://www.amazon.in/Redmi-Note-Pro-Max-64GB/dp/B086985WZY/ref=sr_1_65?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-65,"14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00"
),4.2 out of 5 stars,"20,214",https://www.amazon.in/Redmi-6A-Black-2GBRAM-Storage/dp/B077PW9V3J/ref=sr_1_67?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Redmi+Mobiles&qid=1612346947&sr=8-67,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
),4.2 out of 5 stars,"14,642",https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B086984LJ4/ref=sr_1_68?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-68,"10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00"
),4.2 out of 5 stars,"4,117",https://www.amazon.in/Redmi-Note-Grey-64GB-Storage/dp/B078BN2H39/ref=sr_1_70?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-70,"11,010.00","11,010.00","11,010.00","11,010.00","12,990.00","12,990.00","12,990.00","15,999.00","15,999.00","15,999.00","13,000.00","13,000.00","11,599.00","13,999.00","15,999.00","11,290.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","11,599.00"
),4.1 out of 5 stars,"56,637",https://www.amazon.in/Redmi-Pro-Blue-64GB-Storage/dp/B07DJHR5DY/ref=sr_1_72?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-72,"12,148.00","12,148.00","12,148.00","12,148.00","12,148.00","12,148.00","12,148.00",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
),4.3 out of 5 stars,"2,772",https://www.amazon.in/Redmi-Y2-Gold-32GB-Storage/dp/B077PWB22Y/ref=sr_1_74?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-74,"10,499.00","10,499.00","10,499.00","10,499.00",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
),4.1 out of 5 stars,"11,150",https://www.amazon.in/Mi-Redmi-Black-32GB-Storage/dp/B07K16XLG7/ref=sr_1_99?dchild=1&keywords=Redmi+Mobiles&qid=1612346953&sr=8-99,"9,490.00",unavailable,unavailable,unavailable,"8,499.00","8,499.00","8,499.00","8,499.00",unavailable,"8,890.00","8,890.00","8,890.00",unavailable,"8,500.00",unavailable,unavailable,unavailable,unavailable,"8,299.00","8,299.00",unavailable,unavailable
),4.2 out of 5 stars,"4,117",https://www.amazon.in/Redmi-Note-4-Gold-64GB/dp/B077Q42FWN/ref=sr_1_101?dchild=1&keywords=Redmi+Mobiles&qid=1612346953&sr=8-101,"10,999.99","11,599.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","15,999.00","15,999.00","15,999.00","13,000.00","13,000.00","11,599.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","11,599.00"
),3.8 out of 5 stars,"3,535",https://www.amazon.in/Test-Exclusive_2020_1117-Multi-3GB-Storage/dp/B089MS6LQZ/ref=sr_1_108?dchild=1&keywords=Redmi+Mobiles&qid=1612346953&sr=8-108,"11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","10,999.00","11,999.00","10,999.00",unavailable,"11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00"
