DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
"Samsung Galaxy S20 Ultra (Cloud White, 12GB RAM, 128GB)",4.2 out of 5 stars,23,https://images-na.ssl-images-amazon.com/images/I/710PrlbpGAL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS6KLN/ref=sr_1_97?dchild=1&keywords=Samsung+Mobiles&qid=1612346904&sr=8-97,97999,97999,97999,97999,97999,97999,97999,97999,84994,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,79497.5,79497.5,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,77999,79500,79500,97999,97999,97999,97999,97999,97999,97999,79496,97999,97999,97999,80000,80000,80000,97999,97999,97999,97999,97999,97999
"Oppo A31 (Mystery Black, 6GB RAM, 128GB)",4.2 out of 5 stars,9915,https://images-na.ssl-images-amazon.com/images/I/71KCwNV6MuL._SX679_.jpg,https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_1?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-1,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,10990,10990,10990,10990,11990,11990,11990,11990,11990
"Oppo A31 (Fantasy White, 6GB RAM, 128GB)",4.2 out of 5 stars,9915,https://images-na.ssl-images-amazon.com/images/I/61IhTtJUXJL._SX679_.jpg,https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_2?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-2,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,10990,10990,10990,10990,11990,11990,11990,11990,11990
"Oppo F17 (Dynamic Orange, 6GB RAM, 128GB)",4.0 out of 5 stars,2243,https://images-na.ssl-images-amazon.com/images/I/81-xJ79cnjL._SX679_.jpg,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KFV4L4/ref=sr_1_7?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-7,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,17389,16990,16990,16990,16990,16990,16700,16990,16990,16990,16649,16649,16990,16990,16990,16990,16990,20990,20990,20990,17999,20990,16980,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16950,16600,16600,16990,16928,16899,16890,16990,16990,16990,16990,16990,16990
"Oppo Reno2 F (Lake Green, 6GB RAM, 256GB)",4.2 out of 5 stars,68,https://images-na.ssl-images-amazon.com/images/I/51daXWoYu2L._SX679_.jpg,https://www.amazon.in/Oppo-Reno2-Green-256GB-Storage/dp/B08RXCHBRF/ref=sr_1_11?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-11,19578,19450,19794.99,19794.99,19748,19699.99,19699.99,19490,19390,19740,19680,19680,19599,19380,19210,unavailable,19980,19980,19898,unavailable,unavailable,unavailable,unavailable,19989,19989,unavailable,19990,19990,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,unavailable,19990,19990,19990,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo A53 (Fairy White, 4GB RAM, 64GB)",4.1 out of 5 stars,2129,https://images-na.ssl-images-amazon.com/images/I/71cnZVgDIoL._SX679_.jpg,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B089MS6R6V/ref=sr_1_19?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-19,12989,12989,12989,12989,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990
"Oppo A5s (Blue, 4GB RAM, 64GB)",4.2 out of 5 stars,32,https://images-na.ssl-images-amazon.com/images/I/81uJLUPkbvL._SY879_.jpg,https://www.amazon.in/Oppo-A5s-Blue-64GB-Storage/dp/B07Y24S2WY/ref=sr_1_24?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-24,10789,10999,10999,10999,10750,10740,10740,10739,10739,10698,10698,10698,10698,10695,10695,10695,10689,10689,10688,10688,10685,10680,10680,10680,10680,10680,10678,10677,10676,10669,10650,10650,10645,10645,10645,10639,10640,10640,10640,10640,10999,10999,10999,10999,unavailable,unavailable,unavailable,unavailable,10999,10999,10999,10999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10999,10999,10999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo F17 (Navy Blue, 6GB RAM, 128GB)",4.0 out of 5 stars,2243,https://images-na.ssl-images-amazon.com/images/I/81lDF673d9L._SX679_.jpg,https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086KDJ6NP/ref=sr_1_25?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-25,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,17389,17389,17389,16990,16990,16990,16990,16990,16990,16700,16990,16990,16990,16990,16580,16580,16990,16990,16990,16990,20990,20990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16950,16600,16600,16600,16928,16899,16990,16990,16990,16990,16990,16990,16990
"Oppo A53 (Electric Black, 4GB RAM, 64GB)",4.1 out of 5 stars,2129,https://images-na.ssl-images-amazon.com/images/I/71pu5oj8MvL._SX679_.jpg,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTMLDF/ref=sr_1_27?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-27,12989,12989,12989,12989,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,15490,12990,12980,12990,12990,12980,12980,13800,13800,17013,12990,12990,12990,15390,15390,15390,15390,15390,15390,15390
"Oppo A53 (Electric Black, 6GB RAM, 128GB)",4.1 out of 5 stars,2129,https://images-na.ssl-images-amazon.com/images/I/71pu5oj8MvL._SX679_.jpg,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTKP2J/ref=sr_1_31?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-31,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,13580,13580,15490,15490,15490,15490,15490,12980,15490,15490,15490,15490,17013,12990,15990,15490,15490,15490,15390,15490,15390,15390,15490
"Oppo F17 (Classic Silver, 6GB RAM, 128GB)",4.0 out of 5 stars,2243,https://images-na.ssl-images-amazon.com/images/I/81Nv7yT879L._SX679_.jpg,https://www.amazon.in/Classic-Silver-Storage-Additional-Exchange/dp/B086KDZGT8/ref=sr_1_32?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-32,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16950,16600,20574,16600,18779,18779,18779,16990,16990,16990,16990,16990,16990
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB)",4.0 out of 5 stars,2243,https://images-na.ssl-images-amazon.com/images/I/81-xJ79cnjL._SX679_.jpg,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KGHVK4/ref=sr_1_33?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-33,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18350,18350,18489,18489,18489,18489,18489,18489,18489,18489,18490,18490,18490,18490,18489,18489,18489,18489,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,16950,16600,16600,16600,16928,16899,16890,16890,18490,18490,18490,18490,18490
"Oppo F17 (Navy Blue, 8GB RAM, 128GB)",4.0 out of 5 stars,2243,https://images-na.ssl-images-amazon.com/images/I/81lDF673d9L._SX679_.jpg,https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086K9XS34/ref=sr_1_34?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-34,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18489,18489,18490,18489,17383,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,16950,16600,16600,18490,unavailable,16899,18490,18490,18490,18490,18490,18490,18490
"Oppo A53 (Fairy White, 6GB RAM, 128GB)",4.1 out of 5 stars,2129,https://images-na.ssl-images-amazon.com/images/I/71cnZVgDIoL._SX679_.jpg,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B089MS4ZG9/ref=sr_1_37?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-37,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490
"Oppo mobile A1K Phone (Red, 2GB RAM, 32GB)",4.3 out of 5 stars,4,https://images-na.ssl-images-amazon.com/images/I/21adpO7OnLL.jpg,https://www.amazon.in/Oppo-mobile-Phone-32GB-Storage/dp/B07ZP8W2LF/ref=sr_1_40?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo Reno3 Pro (Midnight Black, 8GB RAM, 256GB)",4.1 out of 5 stars,990,https://images-na.ssl-images-amazon.com/images/I/81dxd7vkdZL._SX679_.jpg,https://www.amazon.in/Midnight-Storage-Additional-Exchange-Offers/dp/B084457WQB/ref=sr_1_43?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-43,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,24990,24990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27800,27990,27800,27800,27800,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990
"Oppo Reno2 F (Sky White, 6GB RAM, 256GB)",4.2 out of 5 stars,68,https://images-na.ssl-images-amazon.com/images/I/51TL8Wht6%2BL._SX679_.jpg,https://www.amazon.in/Oppo-Reno2-White-256GB-Storage/dp/B08RXC85Y3/ref=sr_1_48?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-48,19990,19450,19794.99,19794.99,19748,19699.99,19699.99,19990,19990,19990,19680,19680,19990,19380,19980,unavailable,19980,19980,19898,unavailable,unavailable,unavailable,unavailable,19989,19989,unavailable,19990,19990,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,unavailable,19990,19990,19990,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo Reno4 Pro (Silky White, 8GB RAM, 128GB)",4.4 out of 5 stars,560,https://images-na.ssl-images-amazon.com/images/I/81dBes518cL._SX679_.jpg,https://www.amazon.in/Reno4-Storage-Additional-Exchange-Offers/dp/B089MS7L7P/ref=sr_1_58?dchild=1&keywords=Oppo+Mobiles&qid=1612346916&sr=8-58,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990
"Oppo Realme 5 Pro (6 GB RAM, 64 GB)",4.4 out of 5 stars,50,https://images-na.ssl-images-amazon.com/images/I/414P-2y0jPL.jpg,https://www.amazon.in/Oppo-Realme-Storage-Crystal-Green/dp/B07Y1N7J3D/ref=sr_1_62?dchild=1&keywords=Oppo+Mobiles&qid=1612346916&sr=8-62,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,14999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo F5 (Red, 6GB RAM, 64GB)",4.2 out of 5 stars,473,https://images-na.ssl-images-amazon.com/images/I/61T8B4U6Z8L._SY879_.jpg,https://www.amazon.in/Oppo-F5-64GB-Storage-Offers/dp/B078CBN95Q/ref=sr_1_99?dchild=1&keywords=Oppo+Mobiles&qid=1612346927&sr=8-99,16990,16990,16990,16990,16780,16780,16780,16780,16780,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,12990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 9A (Nature Green, 2GB Ram, 32GB)",4.2 out of 5 stars,37265,https://images-na.ssl-images-amazon.com/images/I/71hDPUM7VPL._SX679_.jpg,https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_1?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-1,6999,6999,6999,6999,6999,6799,6799,6799,6799,6999,6999,6999,6999,6999,6999,6999,6799,6799,6799,6799,6799,6799,6799,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,unavailable,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799
"Redmi 9 (Sky Blue, 4GB RAM, 64GB)",4.2 out of 5 stars,32477,https://images-na.ssl-images-amazon.com/images/I/71A9Vo1BatL._SX679_.jpg,https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_2?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-2,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8999,8799,8799,8799,8799,8799,8799,8799,8999,8999,8999,8999,8999,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799,8799
"Redmi 9A (Sea Blue, 2GB Ram, 32GB)",4.2 out of 5 stars,37265,https://images-na.ssl-images-amazon.com/images/I/71hDPUM7VPL._SX679_.jpg,https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_3?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-3,6999,6999,6999,6999,6999,6799,6799,6799,6799,6999,6999,6999,6999,6999,6999,6999,6799,6799,6799,6799,6799,6799,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,unavailable,unavailable,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799,6799
"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB)",4.3 out of 5 stars,35249,https://images-na.ssl-images-amazon.com/images/I/71TwXw2LQRL._SX679_.jpg,https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B08697MJDK/ref=sr_1_4?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-4,9999,9499,9499,9499,9499,9499,9499,9999,9999,9999,9999,9999,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9999,9999,9999,9999,9999,9999,9999,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9499,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"Redmi 8A Dual (Sky White, 3GB RAM, 64GB)",4.1 out of 5 stars,54436,https://images-na.ssl-images-amazon.com/images/I/710p2f-zAdL._SX679_.jpg,https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B086977J48/ref=sr_1_5?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-5,8299,7499,7999,7999,8299,7999,7999,7999,7999,7999,8299,8299,8999,8999,8999,8999,8999,8999,8999,8999,8499,8525,8525,9299,9299,8498,7439,8999,8788,7499,7499,7499,8675,8675,7499,8999,8999,8788,8999,8999,8300,9299,unavailable,unavailable,9295,9295,unavailable,unavailable,7499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,8999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,8999,unavailable,unavailable,unavailable,8299,8299,9490,9199,9199,9199,9199,9199,9199,9199,9199,9199,9199,8561,unavailable,unavailable,unavailable
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB)",4.3 out of 5 stars,52929,https://images-na.ssl-images-amazon.com/images/I/716tvc8pVEL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_6?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-6,11999,13999,13999,13999,11999,11999,11999,11999,11999,11999,11999,11999,11499,11499,11499,11499,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,13999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,12999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB)",4.2 out of 5 stars,66961,https://images-na.ssl-images-amazon.com/images/I/811axeBSeRL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_7?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-7,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,11999,11999,11999,11999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999
"Redmi 9 Prime (Matte Black, 4GB RAM, 128GB)",4.3 out of 5 stars,35249,https://images-na.ssl-images-amazon.com/images/I/71TwXw2LQRL._SX679_.jpg,https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B08699CZBC/ref=sr_1_8?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-8,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi 8A Dual (Sky White, 2GB RAM, 32GB)",4.1 out of 5 stars,54436,https://images-na.ssl-images-amazon.com/images/I/710p2f-zAdL._SX679_.jpg,https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B07X1KSWZ3/ref=sr_1_11?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-11,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,unavailable,unavailable,8999,8999,8756,8299,8299,7499,7499,7499,7499,8999,7499,7499,7499,7499,8675,8675,7499,7999,8999,7499,7499,7499,7500,9299,unavailable,unavailable,7499,7499,unavailable,unavailable,7499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,8299,8299,9490,8299,9199,9399,7499,7499,9199,9199,9199,9199,9199,8561,9298,9298,unavailable
